Airline,Flight,AirportFrom,AirportTo,DayOfWeek,Time,Length,Delay
b'CO',269.0,b'SFO',b'IAH',b'3',15.0,205.0,b'1'
b'US',1558.0,b'PHX',b'CLT',b'3',15.0,222.0,b'1'
b'AA',2400.0,b'LAX',b'DFW',b'3',20.0,165.0,b'1'
b'AA',2466.0,b'SFO',b'DFW',b'3',20.0,195.0,b'1'
b'AS',108.0,b'ANC',b'SEA',b'3',30.0,202.0,b'0'
b'CO',1094.0,b'LAX',b'IAH',b'3',30.0,181.0,b'1'
b'DL',1768.0,b'LAX',b'MSP',b'3',30.0,220.0,b'0'
b'DL',2722.0,b'PHX',b'DTW',b'3',30.0,228.0,b'0'
b'DL',2606.0,b'SFO',b'MSP',b'3',35.0,216.0,b'1'
b'AA',2538.0,b'LAS',b'ORD',b'3',40.0,200.0,b'1'
b'CO',223.0,b'ANC',b'SEA',b'3',49.0,201.0,b'1'
b'DL',1646.0,b'PHX',b'ATL',b'3',50.0,212.0,b'1'
b'DL',2055.0,b'SLC',b'ATL',b'3',50.0,210.0,b'0'
b'AA',2408.0,b'LAX',b'DFW',b'3',55.0,170.0,b'0'
b'AS',132.0,b'ANC',b'PDX',b'3',55.0,215.0,b'0'
b'US',498.0,b'DEN',b'CLT',b'3',55.0,179.0,b'0'
b'B6',98.0,b'DEN',b'JFK',b'3',59.0,213.0,b'0'
b'CO',1496.0,b'LAS',b'IAH',b'3',60.0,162.0,b'0'
b'DL',1450.0,b'LAS',b'MSP',b'3',60.0,181.0,b'0'
b'CO',507.0,b'ONT',b'IAH',b'3',75.0,167.0,b'0'
b'AS',128.0,b'FAI',b'SEA',b'3',80.0,206.0,b'0'
b'DL',2223.0,b'ANC',b'SLC',b'3',85.0,270.0,b'0'
b'AS',112.0,b'ANC',b'SEA',b'3',90.0,200.0,b'0'
b'HA',17.0,b'LAS',b'HNL',b'3',100.0,380.0,b'1'
b'US',122.0,b'ANC',b'PHX',b'3',113.0,327.0,b'1'
b'AS',114.0,b'ANC',b'SEA',b'3',150.0,200.0,b'0'
b'B6',766.0,b'BQN',b'MCO',b'3',240.0,169.0,b'0'
